time,high,low,open,volumefrom,volumeto,close
2017-09-23,4903.92,4497.59,4616.2,376.7,1784186.32,4764.57
2017-09-24,4865.84,4597.95,4764.57,384.83,1790596.55,4623.19
2017-09-25,5026.86,4603.33,4623.19,840.71,4086049.37,4973.72
2017-09-26,5153.9,4864.37,4973.72,402.63,1995179.06,4924.59
2017-09-27,5325.24,4875.97,4924.59,888.43,4529571.64,5323.96
2017-09-28,5394.49,5228.16,5323.96,538.7,2859604.58,5328.48
2017-09-29,5376.99,5092.41,5328.48,572.6,3011070.67,5260.87
2017-09-30,5601.73,5250.3,5260.87,456.14,2457182.44,5408.85
2017-10-01,5546.78,5384.11,5408.85,438.36,2385502.11,5543.59
2017-10-02,5786.97,5510.35,5543.59,487.95,2722258.19,5566.5
2017-10-03,5628.22,5421.12,5566.5,735.8,4041196.83,5494.96
2017-10-04,5526.1,5253.76,5494.96,833.58,4428689.32,5313.31
2017-10-05,5590.83,5251.99,5313.31,500.69,2730759.68,5565.71
2017-10-06,5702.06,5484.79,5565.71,509.99,2847169.77,5547.05
2017-10-07,5636.9,5496.26,5547.05,345.36,1915951.53,5593.8
2017-10-08,5890.03,5577.54,5593.8,484.06,2790652.1,5873.36
2017-10-09,6186.58,5842.06,5873.36,789.45,4715488.5,6070.14
2017-10-10,6215.68,6027.22,6070.14,610.15,3735656.22,6043.11
2017-10-11,6180.24,6020.95,6043.11,523.57,3196517.66,6082.64
2017-10-12,6863.48,6078.01,6082.64,744.65,4881812.13,6862.03
2017-10-13,7398.44,6770.62,6862.03,1136.93,8065524.21,7130.58
2017-10-14,7280.02,6951.75,7130.58,361.1,2576913.24,7272.76
2017-10-15,7341.29,6860.25,7272.76,323.72,2299193.64,7166.59
2017-10-16,7219.74,7019.05,7177.34,422.41,3011364.9,7219.74
2017-10-17,7226.64,7005.03,7219.74,301.62,2140783.75,7077.29
2017-10-18,7106.37,6479.2,7077.37,503.76,3439467.95,7098.37
2017-10-19,7237.24,7006.13,7098.51,421.17,3012511.05,7189.99
2017-10-20,7689.47,7117.38,7189.99,627.93,4681848.19,7670.24
2017-10-21,7746.87,7569.28,7670.08,719.55,5526344.9,7652.5
2017-10-22,7700.64,7353.52,7652.5,390.23,2944357.19,7620.09
2017-10-23,7679.82,7318.59,7613.95,604.23,4528575.29,7469.83
2017-10-24,7532.19,7068.74,7473.21,701.69,5093938.75,7129.32
2017-10-25,7429.18,7028.04,7138.69,788.43,5624740.64,7425.41
2017-10-26,7758.12,7332.33,7425.41,477.85,3625908.77,7663.98
2017-10-27,7770.71,7403.02,7664.84,399.69,3023170.3,7507.23
2017-10-28,7637.23,7366.98,7507.23,215.74,1621566.73,7445.11
2017-10-29,8098.65,7400.81,7445.11,842.05,6532836.69,7987.46
2017-10-30,7994.71,7890.64,7987.46,435.09,3451020.34,7946.6
2017-10-31,8450.14,7888.39,7945.32,593.18,4854938.83,8436.2
2017-11-01,8969.9,8278.71,8436.2,803.76,6912567.19,8905.95
2017-11-02,9736.96,8846.09,8902.86,1419.4,12952530.87,9327.58
2017-11-03,9668.44,9114.86,9327.58,820.05,7717709.82,9378.52
2017-11-04,9635.76,9144.98,9378.52,431.75,4055895.93,9479.89
2017-11-05,9889.16,9395.57,9479.89,498.26,4824002.34,9694.48
2017-11-06,9721.13,8896.4,9700.85,886.49,8224069.16,8999.93
2017-11-07,9344.29,8994.67,9001.05,478.87,4381399.76,9133.9
2017-11-08,10073.78,9069.84,9133.9,1555.91,14925487.25,9561.4
2017-11-09,9587.18,9105.87,9561.4,697.45,6461339.91,9179.86
2017-11-10,9328.81,8266.25,9179.86,1592.65,14004164.83,8569.48
2017-11-11,9051.66,7904.33,8567.62,1091.68,8990967.24,8018.11
2017-11-12,8299.81,7015.04,8018.47,1936.66,14950536.86,7505.42
2017-11-13,8983.28,7426.8,7505.42,784.75,6471693.85,8397.49
2017-11-14,8691.9,8299.06,8399.51,571.06,4840474.03,8460.63
2017-11-15,9436.49,8454.51,8460.63,692.21,6297533.07,9412.65
2017-11-16,10207.7,9291.69,9416.09,905.7,8854903.45,10166.0
2017-11-17,10282.12,9805.3,10166.17,749.82,7553596.18,9845.85
2017-11-18,10106.0,9518.0,9853.04,548.95,5413747.16,10084.11
2017-11-19,10359.33,9949.75,10084.5,823.92,8310893.07,10286.49
2017-11-20,10728.03,10216.23,10285.79,714.16,7510583.4,10683.69
2017-11-21,10791.57,10200.68,10683.69,807.73,8523096.25,10474.27
2017-11-22,10681.85,10386.3,10476.32,447.31,4725801.07,10584.99
2017-11-23,10633.09,10359.0,10585.7,651.91,6843962.18,10366.25
2017-11-24,10613.5,10285.81,10356.37,584.31,6111015.99,10464.09
2017-11-25,11093.6,10376.69,10464.09,607.15,6590355.19,11093.6
2017-11-26,12014.26,11034.76,11093.6,882.05,10180200.31,11839.48
2017-11-27,12410.23,11839.44,11839.44,783.84,9552053.0,12410.11
2017-11-28,12853.57,12279.33,12410.11,1010.38,12729837.92,12761.82
2017-11-29,14697.02,11914.32,12763.83,2694.48,36171984.15,12905.44
2017-11-30,14203.13,12034.71,12905.44,986.71,12727923.0,13234.88
2017-12-01,13993.48,12561.06,13234.88,754.75,10127122.48,13884.7
2017-12-02,14245.16,13683.05,13884.46,426.46,5958608.27,13887.5
2017-12-03,15097.23,13772.24,13887.56,825.68,11984122.67,14583.13
2017-12-04,14886.7,14348.88,14582.63,674.98,9818565.46,14852.22
2017-12-05,15357.43,14735.27,14852.43,556.14,8377507.92,15275.92
2017-12-06,17741.96,15171.62,15275.92,1096.92,18032557.76,17689.2
2017-12-07,20943.59,16803.74,17729.66,2229.5,42536807.16,20459.35
2017-12-08,20888.65,16630.9,20459.35,1709.23,32659752.45,19596.74
2017-12-09,19607.02,16507.76,19534.45,1116.83,20408066.79,18381.28
2017-12-10,19357.77,16302.27,18381.28,1337.11,24340522.01,19003.6
2017-12-11,21751.34,19003.63,19013.05,1340.35,27412204.45,21146.96
2017-12-12,21996.55,20461.15,21155.26,923.07,19692916.38,21486.87
2017-12-13,21779.05,19749.33,21486.87,745.79,15605899.4,20697.18
2017-12-14,21007.47,19870.75,20697.18,474.85,9727733.91,20837.75
2017-12-15,22198.99,20657.59,20692.49,895.74,19465683.49,22112.67
2017-12-16,25015.08,21975.87,21985.67,988.11,23237239.19,24886.52
2017-12-17,24997.31,23995.28,24887.61,500.32,12251830.51,24486.02
2017-12-18,24507.21,23099.24,24485.73,783.72,18577720.59,23957.65
2017-12-19,24390.27,21532.5,23957.65,1004.74,23407749.07,22467.94
2017-12-20,22907.69,17103.47,22468.95,1429.17,30024476.28,21374.02
2017-12-21,22095.9,19207.53,21374.02,873.78,17953522.82,19879.51
2017-12-22,20094.57,13296.93,19879.51,2640.36,45257010.42,18514.25
2017-12-23,20483.98,17994.47,18505.93,811.1,15713426.68,19231.73
2017-12-24,19402.18,17431.08,19231.73,539.19,9802139.51,18322.36
2017-12-25,19005.73,17770.06,18322.36,325.34,5973732.97,18293.79
